iter	Passed	Remaining
0	113	113109
1	116	57978
2	117	39022
3	118	29511
4	119	23774
5	120	19941
6	121	17203
7	122	15137
8	123	13549
9	124	12276
10	124	11206
11	125	10311
12	125	9548
13	126	8894
14	127	8342
15	128	7921
16	129	7490
17	130	7096
18	130	6743
19	131	6427
20	131	6139
21	132	5877
22	132	5637
23	133	5418
24	133	5216
25	134	5030
26	134	4857
27	135	4698
28	135	4549
29	136	4410
30	136	4279
31	137	4157
32	137	4041
33	138	3932
34	138	3829
35	139	3732
36	139	3643
37	140	3563
38	141	3486
39	142	3424
40	143	3358
41	144	3291
42	144	3223
43	145	3157
44	145	3096
45	146	3036
46	146	2979
47	147	2925
48	148	2875
49	148	2824
50	149	2775
51	149	2729
52	150	2684
53	150	2640
54	151	2597
55	151	2557
56	152	2518
57	152	2480
58	153	2444
59	153	2408
60	154	2374
61	154	2341
62	155	2310
63	158	2312
64	158	2285
65	159	2258
66	160	2229
67	160	2197
68	160	2169
69	161	2143
70	161	2117
71	162	2092
72	162	2067
73	163	2043
74	163	2020
75	164	1997
76	164	1975
77	165	1953
78	165	1934
79	166	1913
80	167	1894
81	167	1875
82	167	1855
83	168	1837
84	168	1817
85	169	1800
86	169	1782
87	170	1766
88	171	1754
89	173	1752
90	173	1737
91	174	1723
92	175	1707
93	175	1694
94	176	1680
95	176	1666
96	177	1651
97	177	1637
98	178	1623
99	179	1613
100	180	1603
101	180	1588
102	181	1576
103	181	1564
104	182	1553
105	182	1542
106	183	1531
107	184	1525
108	189	1549
109	190	1540
110	190	1528
111	191	1517
112	191	1506
113	192	1495
114	192	1484
115	193	1472
116	193	1463
117	194	1454
118	194	1443
119	195	1433
120	195	1423
121	196	1413
122	196	1402
123	197	1392
124	197	1383
125	198	1374
126	198	1365
127	198	1355
128	199	1346
129	199	1338
130	200	1329
131	200	1321
132	202	1317
133	203	1312
134	203	1304
135	204	1297
136	204	1290
137	205	1282
138	206	1276
139	206	1269
140	207	1262
141	207	1255
142	208	1248
143	209	1244
144	209	1237
145	210	1231
146	211	1225
147	212	1220
148	212	1214
149	213	1208
150	213	1202
151	214	1196
152	215	1190
153	215	1184
154	216	1180
155	217	1176
156	218	1174
157	220	1174
158	221	1170
159	221	1165
160	222	1159
161	223	1153
162	223	1148
163	224	1142
164	224	1137
165	225	1132
166	225	1126
167	226	1121
168	227	1116
169	227	1111
170	228	1108
171	229	1103
172	229	1098
173	230	1093
174	231	1089
175	231	1085
176	233	1086
177	234	1082
178	234	1077
179	235	1072
180	235	1066
181	236	1061
182	236	1057
183	237	1052
184	237	1047
185	238	1042
186	238	1037
187	239	1033
188	239	1029
189	240	1024
190	240	1020
191	241	1015
192	241	1011
193	242	1006
194	242	1003
195	243	998
196	243	994
197	244	990
198	244	985
199	245	981
200	245	977
201	246	973
202	247	970
203	247	967
204	248	964
205	249	961
206	249	957
207	250	953
208	250	949
209	251	946
210	252	942
211	252	939
212	253	935
213	253	932
214	254	929
215	255	925
216	255	921
217	255	918
218	256	914
219	256	911
220	257	907
221	258	904
222	258	900
223	259	897
224	259	894
225	260	890
226	260	887
227	261	884
228	261	880
229	263	880
230	265	882
231	266	881
232	267	880
233	268	877
234	268	874
235	269	870
236	269	867
237	269	864
238	270	861
239	271	858
240	271	855
241	272	852
242	272	849
243	273	846
244	273	842
245	274	840
246	274	837
247	275	834
248	275	831
249	276	828
250	277	827
251	277	824
252	278	821
253	279	819
254	279	817
255	280	814
256	280	812
257	281	809
258	281	806
259	282	803
260	282	801
261	283	798
262	284	796
263	284	793
264	285	791
265	285	788
266	286	786
267	286	783
268	287	781
269	287	778
270	288	775
271	288	773
272	289	770
273	289	767
274	290	765
275	290	763
276	291	760
277	291	757
278	293	757
279	295	759
280	296	759
281	297	757
282	297	754
283	298	752
284	298	750
285	299	747
286	299	745
287	300	742
288	300	740
289	301	737
290	301	735
291	302	733
292	302	731
293	303	729
294	304	726
295	304	724
296	305	722
297	305	719
298	306	717
299	306	715
300	307	713
301	308	712
302	310	713
303	310	711
304	311	709
305	312	707
306	312	705
307	313	703
308	313	701
309	314	699
310	314	697
311	315	694
312	315	692
313	316	690
314	316	688
315	317	686
316	317	684
317	318	682
318	318	680
319	319	678
320	319	675
321	320	674
322	321	672
323	321	671
324	323	671
325	325	672
326	325	670
327	326	668
328	326	666
329	327	664
330	327	662
331	328	660
332	328	658
333	329	656
334	329	654
335	330	653
336	331	651
337	331	649
338	332	647
339	332	645
340	333	643
341	333	641
342	334	639
343	334	638
344	335	636
345	335	634
346	336	632
347	336	630
348	336	628
349	337	626
350	339	627
351	340	627
352	341	625
353	342	624
354	342	622
355	343	620
356	343	618
357	344	617
358	344	615
359	345	613
360	345	611
361	346	609
362	346	608
363	347	606
364	347	604
365	348	602
366	348	601
367	349	599
368	349	597
369	350	596
370	350	594
371	351	592
372	351	591
373	352	589
374	352	587
375	354	588
376	356	589
377	357	588
378	358	587
379	358	585
380	359	583
381	359	582
382	360	580
383	360	578
384	361	577
385	361	575
386	362	574
387	363	572
388	363	571
389	364	570
390	366	570
391	368	570
392	368	569
393	370	569
